,日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元),ric
0,2024-03-31,1.1428,1.14,1.14,--,40.0327,39.9857,0.8409,23.965,13.7707,--,1.8047,21.6614,1.7982,17.2645,14.1522,77.8186,12.3004,114.278,2.8546,1.8047,--,3.7651,-3.4422,152.8159,--,--,543377535.92,2.86,2.9,295249063.89,7.8418,25.8722,77.1106,24.8396,0.981,91.7431,40.0855,2.2452,--,0.1462,615.5951,0.2752,327.0349,0.2353,2.0344,1.8504,35.7741,2456.6805,0.0111,63.2222,0.2983,--,58.1724,74.1139,0.4696,--,74.4636,41.6187,371.0115,--,36.7778,17096974473.26,0.0905,0.0133,0.7358,0.0361,5.1047,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002850
1,2023-12-31,4.5165,4.79,4.82,4.64,38.9716,38.9245,2.7718,23.9121,12.6415,--,7.0731,23.047,7.7598,15.9819,13.047,76.4197,11.5889,1076.5769,27.6246,16.86,--,3.9078,-5.3382,178.3391,--,--,2422550665.4,11.44,15.37,1157535794.28,21.4695,33.4324,80.368,21.5047,3.8156,94.3495,48.4242,7.4343,1.8342,0.6696,537.6344,1.26,285.7143,1.2867,1.8661,1.679,38.5864,1942.0252,0.0307,61.0323,0.7606,163.0636,63.8476,75.5356,1.2309,79.2719,76.477,48.0662,332.7705,37.4286,38.9677,17222355388.09,0.0711,0.0434,0.6137,0.1114,15.1909,--,--,--,--,--,--,--,1528326.84,81432.3,16562894.49,--,391066.5,300536.59,--,--,3881124.79,1971420.99,5704063.51,002850
2,2023-09-30,2.9875,3.27,3.28,--,37.7659,37.3641,0.1333,23.9925,11.2096,--,4.639,22.7716,5.1083,14.283,11.7522,76.6681,10.3697,298.7486,7.9105,4.639,--,3.9818,-6.7353,196.3198,--,--,1768978034.08,7.89,11.48,771443008.18,30.1215,34.1178,85.5084,42.4247,2.7302,98.8939,48.9317,5.5179,--,0.4926,548.1121,0.9082,297.2913,0.9704,1.8001,1.628,47.8252,1764.4019,0.0465,58.6434,1.1443,--,70.5223,74.7267,1.9139,--,76.1848,54.3589,306.2459,--,41.3566,17364784279.11,0.0046,0.0021,0.0446,0.005,0.6735,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002850
3,2023-06-30,2.1762,2.16,2.17,2.12,27.279,26.8451,2.4324,12.8025,11.5993,--,3.806,22.456,3.7117,14.4354,12.0047,76.986,10.4407,801.6187,29.3859,14.0195,--,4.1317,-9.2394,190.4628,--,--,1104209447.42,8.03,8.47,495980352.8,45.1226,47.0403,28.4494,45.5748,1.8172,99.0535,52.8479,3.406,0.9139,0.3555,506.3291,0.7291,246.8797,0.802,1.1417,0.9544,17.8108,1683.0977,0.2876,47.7083,1.5843,112.0202,109.6073,112.8285,3.214,80.6571,116.5752,84.8047,239.7846,42.589,52.2917,13489010383.04,0.1167,0.0425,1.1177,0.0814,10.943,--,--,--,--,--,--,--,7281819.9,7064766.04,21980070.21,--,286893.83,--,--,--,8489840.5,1366028.08,4530075.43,002850
4,2023-03-31,1.0454,1.0269,1.0302,--,26.0255,25.5933,-0.0901,12.4427,10.8294,--,1.7899,21.6441,1.7592,14.6013,12.116,77.8607,10.5385,104.5351,4.0166,1.7899,--,4.2813,-7.7322,179.3801,--,--,503464605.46,4.02,4.12,232345927.5,48.5203,42.015,27.0934,67.5934,0.8801,102.2611,59.6777,1.5081,--,0.1669,539.2451,0.3303,272.4796,0.3899,1.1418,0.9404,19.9258,1579.2646,0.297,44.5633,1.7729,--,124.4001,112.0403,3.8261,--,116.4977,98.4836,221.1142,--,55.4367,13695157817.21,-0.0091,-0.0015,-0.0862,-0.0028,-0.3663,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002850
5,2022-12-31,3.8946,3.82,3.86,3.62,24.8605,24.4435,1.8675,12.3408,9.803,--,6.4408,23.3626,8.4922,14.7403,11.929,76.1399,10.5499,862.1264,34.6786,14.2579,--,4.0337,-3.3869,196.4707,--,--,2021685941.39,15.73,17.61,845653897.91,93.6954,67.3352,25.5698,93.4656,3.9431,91.2987,51.9121,6.9348,2.3086,0.8049,447.2605,1.5694,229.387,1.6532,1.1505,0.9602,34.3823,1385.9546,0.2627,41.1143,1.8188,116.1877,143.2241,109.6646,4.2363,81.9063,114.5159,116.2949,203.1245,35.3861,58.8857,14174231125.54,0.0506,0.0309,0.4795,0.0524,6.7147,--,--,--,--,--,--,--,7453567.19,4266767.07,19216734.76,--,617783.03,--,--,--,2965216.99,1552644.08,4565075.43,002850
6,2022-09-30,2.5629,2.54,2.54,--,23.4231,23.0257,0.2061,12.2168,8.558,--,4.9263,23.1806,6.1544,14.0289,11.4598,76.3748,10.0607,256.2875,10.9417,4.9263,--,3.9321,-4.512,204.6222,--,--,1383902560.11,11,12.31,557037366.08,99.859,58.7108,24.5559,84.4064,2.8343,95.2616,52.0352,5.1888,--,0.6117,441.3928,1.1868,227.5025,1.1787,1.2965,1.0787,24.5257,1592.5215,0.1445,45.0236,1.7716,--,122.1055,99.1779,3.7859,--,103.0805,95.7374,225.0545,--,54.9764,12192256953.38,0.0081,0.004,0.0804,0.0072,0.9585,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002850
7,2022-06-30,1.499,1.48,1.48,1.39,21.5097,21.0136,0.1807,12.3489,7.5405,--,3.7681,24.0946,4.2085,14.455,11.726,75.4237,10.3045,538.8199,25.0501,13.5443,--,4.0156,-5.8711,208.5645,--,--,816400187.09,7,7.3,324562087.04,88.0018,57.7281,17.9763,52.1895,1.9535,92.1423,66.7928,2.6949,1.1673,0.4084,440.7444,0.8475,212.3894,0.7022,1.1442,0.8276,16.4027,2012.4507,0.3923,54.0689,2.3851,150.6956,84.9491,91.6926,4.2248,78.587,95.7373,82.3779,217.2267,35.8796,45.9311,9266032464.54,0.0124,0.0045,0.1206,0.0099,1.0777,--,--,--,--,--,--,--,17586911.84,12963955.85,11715057.11,--,--,--,--,--,4043113.79,886558.94,3739735.43,002850
8,2022-03-31,0.7411,0.7263,0.7263,--,20.6164,20.2325,-0.7165,11.9833,6.989,--,2.1123,23.5459,2.2275,15.403,12.4664,75.9971,11.0212,74.1079,3.5946,2.1123,--,3.8861,-4.1414,190.2734,--,--,368772564.31,3.59,3.65,160760600.33,95.7184,94.791,15.5778,43.7409,0.9502,94.7169,58.6014,1.5358,--,0.2021,445.3241,0.4152,216.763,0.3317,1.3324,1.0371,18.4331,2370.3317,0.2295,58.764,2.8146,--,70.1723,82.5738,4.5708,--,86.5288,67.5675,242.51,--,41.236,8171655659.35,-0.1066,-0.0204,-0.9669,-0.0495,-5.5364,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002850
0,2024-03-31,0.505,0.45,0.45,--,24.0417,16.9614,0.6159,2.823,12.6052,--,0.8932,8.1569,0.9015,3.6328,3.5345,91.6398,3.0972,50.4967,2.1004,0.8932,--,2.4682,-3.9298,238.0823,--,-2.1734,360738182.68,2.68,2.71,123092034.96,22.3475,8.1324,8.1678,15.3319,1.8691,48.1515,68.9444,1.3054,--,0.2911,309.1721,0.4242,212.1641,0.6856,1.6394,1.1543,52.1658,672.5731,0.4527,42.5266,12.1555,--,135.1467,56.9645,22.2293,--,73.2468,127.3386,175.198,--,57.4734,15334640935.3,0.0378,0.0109,1.2197,0.019,2.5941,--,--,--,20606745.46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002768
